hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,Pork Sausage Link,1 ea,189,16.9g,4.5g,2g,8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=060063*1
south,12/1/2025,Breakfast,Vegan Chocolate Chip Pancake (purple),1 each,146,3g,1.5g,27.1g,3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100212*1
south,12/1/2025,Breakfast,Breakfast Potatoes w/ Peppers & Onions,4 oz,69,0.4g,0g,14.9g,1.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=141123*4
south,12/1/2025,Breakfast,Earth Balance Soy Free Spread,1 oz,203,22.3g,5.1g,0g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220136*1
south,12/1/2025,Breakfast,Pancake Syrup,1 each,0,0g,0g,30.6g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220127*1
south,12/1/2025,Breakfast,Warm Cinnamon Apples,2 oz,84,0g,0g,21.8g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150300*2
south,12/1/2025,Breakfast,Grilled Blackened Chicken Thigh,1 each,165,7.9g,1.9g,1.6g,23.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126719*1
south,12/1/2025,Breakfast,Grilled Hot Dog,1 each,168,14.3g,5g,0.4g,9.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126035*1
south,12/1/2025,Breakfast,BBQ Sauce,1 oz,56,0g,0g,14g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220112*1
south,12/1/2025,Breakfast,Bacon Bits,1 oz,127,8.7g,3.1g,0.5g,12g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090271*1
south,12/1/2025,Breakfast,Banana Peppers,1 oz,5,0g,0g,0.9g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220062*1
south,12/1/2025,Breakfast,Dijon Mustard,1 oz,30,0g,0g,0g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220126*1
